case	evale_ctor	value_binders	value_expr	tag	arm_pc	payload_insn	payload_word	payload_site	jal_pc	jal_word	jal_imm	j_pc	j_word	j_imm	callee	callee_entry	callee_code_lo	callee_code_hi	callee_loaded	slot_bytes	slot_def	slot_thm	entry_struct	spec_full	blockC	blockC_style	epilogue	goal_def	theorem	spec_file	base_import	decode_imports
int	EvalE.int	n:Int	.int n	0	0x80003408	ld	0x00863583	site_80003408_ee	0x8000340c	0xc00ff0ef	0x1ff400	0x80003410	0xfddff06f	0x1fffdc	value_int	0x8000280c	0x8000280c	0x8000281c	Value_intLoaded	b0:94:fe:ff	IntSlotPinned	int_slot_kindPinned	EvalEntry	value_int_spec	blockC_ee	inline_tail	blockD_ee	EvalIntSimGoal	evalIntSim	Vsa/Sim/EvalIntSim4.lean	Vsa.Sim.EvalIntSim3	-
str	EvalE.str	s:String	.str s	1	0x80003414	ld	0x00863583	site_80003414_ee	0x80003418	0xc04ff0ef	0x1ff404	0x8000341c	0xfd1ff06f	0x1fffd0	value_str	0x8000281c	0x8000281c	0x8000282c	Value_strLoaded	bc:94:fe:ff	StrSlotPinned	str_slot_kindPinned	EvalStrEntry	value_str_spec_full	blockC_str	payload_then_armTail	blockD_v	EvalStrSimGoal	evalStrSim	Vsa/Sim/EvalStrSim.lean	Vsa.Sim.EvalNullSim	Batch16Part07:Batch14Part13:Batch03Part22
bool	EvalE.bool	b:Bool	.bool b	2	0x80003420	lw	0x00862583	site_80003420_ee	0x80003424	0xbd4ff0ef	0x1ff3d4	0x80003428	0xfc5ff06f	0x1fffc4	value_bool	0x800027f8	0x800027f8	0x8000280c	Value_boolLoaded	c8:94:fe:ff	BoolSlotPinned	bool_slot_kindPinned	EvalBoolEntry	value_bool_spec_full	blockC_bool	inline_tail	blockD_v	EvalBoolSimGoal	evalBoolSim	Vsa/Sim/EvalBoolSim.lean	Vsa.Sim.EvalNullSim	Batch16Part04:Batch14Part10:Batch03Part22
null	EvalE.null	-	.null	3	0x8000342c	-	-	-	0x8000342c	0xbc0ff0ef	0x1ff3c0	0x80003430	0xfbdff06f	0x1fffbc	value_null	0x800027ec	0x800027ec	0x800027f8	Value_nullLoaded	d4:94:fe:ff	NullSlotPinned	null_slot_kindPinned	EvalNullEntry	value_null_spec_full	blockC_null	armTail	blockD_v	EvalNullSimGoal	evalNullSim	Vsa/Sim/EvalNullSim.lean	Vsa.Sim.EvalIntSim4	Batch16Part01:Batch14Part09
var	EvalE.var	x:String,v:Value	v	4	0x80003434	ld	0x00863583	site_80003434_var	0x80003440	0xfd0ff0ef	0x1ff7d0	-	-	-	env_get	0x80002c10	0x80002c10	0x80002cdc	Env_getLoaded	dc:94:fe:ff	VarSlotPinned	var_slot_kindPinned	EvalVarEntry	-	blockC_var	custom_inlined_epilogue	inlined	EvalVarSimGoal	evalVarSim	Vsa/Sim/EvalVarSim.lean	Vsa.Sim.EvalStrSim	Batch16Part07:Batch12Part03:Batch12Part02:Batch12Part01:Batch11Part04:Batch09Part29:Batch09Part28:Batch09Part26:Batch04Part30:Batch04Part21:Batch04Part14:Batch03Part22:Batch01Part23:Batch01Part14:Batch01Part04
