# Recovered from Vsa/Sim/BinHeadSites.lean; preserve non-generated declarations separately.
800034e8	01063603	ld	12	12	010
800034ec	07810513	alu_addi	10	2	078
800034f0	41313c23	sd	19	2	418
800034f4	00d13023	sd	13	2	000
800034f8	c6dff0ef	jal	1	1ffc6c
800034fc	01843603	ld	12	8	018
80003500	00013683	ld	13	2	000
80003504	07812803	lw	16	2	078
80003508	09010513	alu_addi	10	2	090
8000350c	00090593	alu_addi	11	18	000
80003510	08013983	ld	19	2	080
80003514	01013023	sd	16	2	000
80003518	c4dff0ef	jal	1	1ffc4c
