# MOD-int arm tail of EX_BINARY, seam 0x800037c4..0x800037d8.
# jal __moddi3 / mv a1,a0 / mv a0,s1 / jal value_int / ld s3,1048(sp) / j 0x800033ec
800037c4	765000ef	jal	1	000f64
800037c8	00050593	alu_addi	11	10	000
800037cc	00048513	alu_addi	10	9	000
800037d0	83cff0ef	jal	1	1ff03c
800037d4	41813983	ld	19	2	418
800037d8	c15ff06f	j	1ffc14
