# Recovered from Vsa/Sim/SnprintfSitesPro.lean; only declarations reproduced by gen_sites.
80007654	db010113	alu_addi	2	2	db0
80007658	24113423	sd	1	2	248
8000765c	00d13c23	sd	13	2	018
80007660	00b13423	sd	11	2	008
80007664	24813023	sd	8	2	240
80007668	22913c23	sd	9	2	238
8000766c	21613823	sd	22	2	210
80007670	00058493	alu_addi	9	11	000
80007674	00060b13	alu_addi	22	12	000
80007678	00050413	alu_addi	8	10	000
8000767c	3dd080ef	jal	1	008bdc
80007680	00053703	ld	14	10	000
80007684	00070513	alu_addi	10	14	000
80007688	04e13823	sd	14	2	050
8000768c	e64ff0ef	jal	1	1ff664
80007690	04a13423	sd	10	2	048
80007694	00800613	alu_addi	12	0	008
80007698	0c810513	alu_addi	10	2	0c8
8000769c	00000593	alu_addi	11	0	000
800076a0	c4cff0ef	jal	1	1ff44c
800076ac	00078863	branch_taken	BEQ	15	0	0010
800076bc	23213823	sd	18	2	230
800076c0	23313423	sd	19	2	228
800076c4	23413023	sd	20	2	220
800076c8	21513c23	sd	21	2	218
800076cc	21713423	sd	23	2	208
800076d0	21813023	sd	24	2	200
800076d4	1f913c23	sd	25	2	1f8
800076d8	1fa13823	sd	26	2	1f0
800076dc	1fb13423	sd	27	2	1e8
800076e0	16010a93	alu_addi	21	2	160
800076e4	0e013823	sd	0	2	0f0
800076e8	0e012423	sw	0	2	0e8
800076ec	0f513023	sd	21	2	0e0
800076f0	000a8b93	alu_addi	23	21	000
800076f4	02013423	sd	0	2	028
800076f8	04013023	sd	0	2	040
800076fc	04013c23	sd	0	2	058
80007700	06013423	sd	0	2	068
80007704	08013023	sd	0	2	080
80007708	06013023	sd	0	2	060
8000770c	00013823	sd	0	2	010
80007710	28818493	alu_addi	9	3	288
80007714	02500993	alu_addi	19	0	025
80007718	01000913	alu_addi	18	0	010
8000771c	01613023	sd	22	2	000
80007744	20050e63	branch_nottaken	BEQ	10	0	021c
80007748	1e054e63	branch_nottaken	BLT	10	0	01fc
8000774c	0b412783	lw	15	2	0b4
80007750	01378663	branch_taken	BEQ	15	19	000c
8000775c	00013783	ld	15	2	000
80007760	00050a13	alu_addi	20	10	000
80007764	40fb0c3b	subw	24	22	15
80007768	200c1463	branch_nottaken	BNE	24	0	0208
8000776c	001b0793	alu_addi	15	22	001
80007770	001b4c03	lbu	24	22	001
80007774	0a0103a3	sb	0	2	0a7
80007778	00f13023	sd	15	2	000
8000777c	fff00a13	alu_addi	20	0	fff
80007780	00000313	alu_addi	6	0	000
80007784	05a00d13	alu_addi	26	0	05a
8000778c	974b0b13	alu_addi	22	22	974
80007790	00000d93	alu_addi	27	0	000
80007794	00078c93	alu_addi	25	15	000
80007798	001c8c93	alu_addi	25	25	001
8000779c	000c0c1b	addiw	24	24	000
800077a0	fe0c079b	addiw	15	24	fe0
800077a4	04fd6a63	branch_nottaken	BLTU	26	15	0054
800077b0	016787b3	alu_add	15	15	22
800077b4	0007a783	lw	15	15	000
800077b8	016787b3	alu_add	15	15	22
