field	z3_verdict	coverage
hAndFalse	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.Sim.Code.Value_truthyLoaded, Vsa.RuntimeRepr.ValueRepr, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hAndTrue	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.Sim.Code.Value_truthyLoaded, Vsa.RuntimeRepr.ValueRepr, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hArgsCons	REFUTED	recfun:[Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.RuntimeRepr.StoreRepr]
hArgsNil	REFUTED	recfun:[Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.RuntimeRepr.StoreRepr]
hAssign	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hBool	UNKNOWN	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hCall	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hCallAssertOk	REFUTED	recfun:[Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.RuntimeRepr.StoreRepr]
hCallClosure	REFUTED	gap×2
hCallPrint	REFUTED	recfun:[Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.RuntimeRepr.StoreRepr]
hCallPrintln	REFUTED	recfun:[Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.RuntimeRepr.StoreRepr]
hDivCorr	REFUTED	recfun:[Vsa.Refine.Loaded]
hDivOv	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hEpilogueSpill	REFUTED	gap×1
hEq	REFUTED	opaque:[Nat.le, Eq]
hFn	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hIAdd	REFUTED	opaque:[Nat.le, Eq]
hIDiv	REFUTED	opaque:[Nat.le, Eq]
hIGe	REFUTED	opaque:[Nat.le, Eq]
hIGt	REFUTED	opaque:[Nat.le, Eq]
hILe	REFUTED	opaque:[Nat.le, Eq]
hILt	REFUTED	opaque:[Nat.le, Eq]
hIMod	REFUTED	opaque:[Nat.le, Eq]
hIMul	REFUTED	opaque:[Nat.le, Eq]
hISub	REFUTED	opaque:[Nat.le, Eq]
hInitStore	REFUTED	recfun:[Vsa.Sim.InterpInitStoreRepr]
hInt	UNKNOWN	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hNe	REFUTED	opaque:[Nat.le, Eq]
hNeg	UNKNOWN	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hNot	UNKNOWN	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.Sim.Code.Value_truthyLoaded, Vsa.RuntimeRepr.ValueRepr, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hNull	UNKNOWN	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
