file	lines	omega	decide	bv_decide	simp	norm_num	decision_total
Vsa/Sim/DivSites3.lean	868	0	319	0	0	0	319
Vsa/Sim/SnprintfSpec9.lean	437	45	269	0	2	0	314
Vsa/Sim/BlockMem.lean	1669	39	270	0	14	0	309
Vsa/Sim/StepBeq.lean	659	1	308	0	49	0	309
Vsa/Sim/rows/EvalGeRow.lean	855	171	130	0	0	0	301
Vsa/Sim/SnprintfSitesFlush.lean	995	0	298	0	0	0	298
Vsa/Sim/StrcmpSpecW4.lean	576	23	273	0	8	0	296
Vsa/Sim/SnprintfSitesPrint.lean	799	0	294	0	0	0	294
Vsa/Sim/EvalBoolSim.lean	709	41	251	0	20	0	292
Vsa/Sim/rows/EvalGtRow.lean	839	168	124	0	0	0	292
Vsa/Sim/rows/EvalLeRow.lean	840	168	124	0	0	0	292
Vsa/Sim/rows/EvalLtRow.lean	835	168	124	0	0	0	292
Vsa/Sim/ExecBlockSites.lean	748	0	270	0	0	0	270
Vsa/Sim/StepAddi.lean	476	0	265	0	38	0	265
Vsa/Sim/rows/EvalAddRow.lean	857	142	121	0	1	0	263
Vsa/Sim/rows/EvalSubRow.lean	854	142	121	0	1	0	263
Vsa/Sim/EvalStrSim.lean	693	44	217	0	10	0	261
Vsa/Sim/DecodePilot.lean	2025	65	195	0	195	0	260
Vsa/Sim/NativeWrapperSites.lean	739	0	255	0	0	0	255
Vsa/Sim/DecodeTable/Batch17.lean	1849	63	189	0	189	0	252
Vsa/Sim/Exec_stmtSites3.lean	704	0	245	0	0	0	245
Vsa/Sim/SnprintfSpec13.lean	504	0	244	0	2	0	244
Vsa/Sim/SubTailSites.lean	744	0	241	0	0	0	241
Vsa/Sim/EnvDefSpec4.lean	807	39	201	0	35	0	240
Vsa/Sim/SnprintfSpec52.lean	691	185	55	0	11	0	240
Vsa/Sim/ValueEqualSpec3.lean	659	51	184	0	24	0	235
Vsa/Sim/NegTailSites.lean	691	0	234	0	0	0	234
Vsa/Sim/MemcpySites4.lean	761	0	227	0	0	0	227
Vsa/Sim/SnprintfSpec30.lean	537	186	36	0	0	0	222
Vsa/Sim/SnprintfSpec24.lean	585	87	134	0	0	0	221
Vsa/Sim/SnprintfSpec6.lean	325	7	207	0	0	0	214
Vsa/Sim/ValueEqualSpec2.lean	607	21	189	0	7	0	210
Vsa/Sim/SnprintfSpec25.lean	476	183	22	0	9	0	205
Vsa/Sim/SnprintfSites.lean	668	0	203	0	0	0	203
Vsa/Sim/SnprintfSpec29.lean	594	116	85	0	44	0	201
Vsa/Sim/SnprintfSpec36.lean	527	174	27	0	0	0	201
Vsa/Sim/SnprintfSpec47.lean	161	1	200	0	1	0	201
Vsa/Sim/MemcpySites2.lean	803	0	200	0	1	0	200
Vsa/Sim/EvalLtChain.lean	1013	0	198	0	0	0	198
Vsa/Sim/SnprintfSpec27.lean	553	122	69	0	0	0	191
Vsa/Sim/SnprintfSitesPro3.lean	536	0	186	0	0	0	186
Vsa/Sim/BinHeadSites.lean	545	0	184	0	0	0	184
Vsa/Sim/EnvNewSites.lean	692	0	184	0	0	0	184
Vsa/Sim/SnprintfSites3.lean	711	0	184	0	0	0	184
Vsa/Sim/EvalGtChain.lean	1128	0	183	0	0	0	183
Vsa/Sim/SnprintfSpec31.lean	475	130	50	0	0	0	180
Vsa/Sim/SnprintfSpec28.lean	562	19	160	0	1	0	179
Vsa/Sim/SnprintfSpec51.lean	355	156	22	0	0	0	178
Vsa/Sim/rows/EvalDivRow.lean	806	28	148	0	16	0	176
Vsa/Sim/EvalGeChain.lean	871	1	171	0	0	0	172
Vsa/Sim/MemcpySites.lean	647	0	169	0	1	0	169
Vsa/Sim/EvalLeChain.lean	942	0	168	0	0	0	168
Vsa/Sim/rows/EvalModRow.lean	695	20	148	0	2	0	168
Vsa/Sim/EqNeTailSites.lean	439	0	162	0	0	0	162
Vsa/Sim/NotTailSites.lean	469	0	159	0	0	0	159
Vsa/Sim/CmpTailSites.lean	386	0	154	0	0	0	154
Vsa/Sim/rows/EvalEqNeRow.lean	734	25	128	0	2	0	153
Vsa/Sim/EvalAddChain.lean	801	27	125	0	0	0	152
Vsa/Sim/Muldi3Sites.lean	621	0	146	0	0	0	146
Vsa/Sim/StepJump.lean	1330	0	144	0	67	0	144
Vsa/Sim/SnprintfSitesFast.lean	391	0	141	0	0	0	141
Vsa/Sim/EnvGetSites.lean	404	0	139	0	0	0	139
Vsa/Sim/EvalNegSim.lean	358	9	130	0	1	0	139
Vsa/Sim/EvalNegSim2.lean	566	60	79	0	5	0	139
Vsa/Sim/ExitPathSeg.lean	374	0	135	0	0	0	135
Vsa/Sim/SnprintfSpec22.lean	527	35	97	0	6	0	132
