LeanRV64DExecutable.Functions.check_pma_with_pmp_priority	6	-	LeanRV64DExecutable.Functions.pmaCheck,LeanRV64DExecutable.Functions.pmpCheck
LeanRV64DExecutable.Functions.split_access	3	-	LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.split_misaligned	4	-	LeanRV64DExecutable.Functions.split_access
LeanRV64DExecutable.Functions.write_kind_of_flags	3	-	LeanRV64DExecutable.Functions.internal_error
LeanRV64DExecutable.Functions.to_bits_checked	2	-	LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.within_clint	2	-	
LeanRV64DExecutable.Functions.within_sig	2	-	
LeanRV64DExecutable.Functions.within_htif_writable	2	-	LeanRV64DExecutable.readReg
LeanRV64DExecutable.Functions.within_mmio_writable	2	-	LeanRV64DExecutable.Functions.within_clint,LeanRV64DExecutable.Functions.within_sig,LeanRV64DExecutable.Functions.within_htif_writable
LeanRV64DExecutable.Functions.hex_bits_12_backwards	1	-	LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.csr_name_map_backwards	1	-	LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.hex_bits_12_backwards
LeanRV64DExecutable.Functions.csr_name_write_callback	2	-	LeanRV64DExecutable.Functions.csr_name_map_backwards
LeanRV64DExecutable.Functions.clint_dispatch	1	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg,LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.read_mip,LeanRV64DExecutable.Functions.csr_name_write_callback
LeanRV64DExecutable.Functions.clint_store	3	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg,LeanRV64DExecutable.Functions.clint_dispatch
LeanRV64DExecutable.Functions.sig_store	3	-	LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.Functions.read_mip,LeanRV64DExecutable.Functions.csr_name_write_callback,LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.reset_htif	1	-	LeanRV64DExecutable.writeReg
Sail.ConcurrencyInterfaceV1.PreSail.print_effect	7	-	
plat_term_write	1	-	Sail.ConcurrencyInterfaceV1.PreSail.print_effect
LeanRV64DExecutable.print_effect	1	-	Sail.ConcurrencyInterfaceV1.PreSail.print_effect
LeanRV64DExecutable.Functions.htif_store	3	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.internal_error,LeanRV64DExecutable.writeReg,LeanRV64DExecutable.Functions.reset_htif,plat_term_write,LeanRV64DExecutable.print_effect,LeanRV64DExecutable.SailME.throw
LeanRV64DExecutable.Functions.mmio_write	3	-	LeanRV64DExecutable.Functions.within_clint,LeanRV64DExecutable.Functions.clint_store,LeanRV64DExecutable.Functions.within_sig,LeanRV64DExecutable.Functions.sig_store,LeanRV64DExecutable.Functions.within_htif_writable,LeanRV64DExecutable.Functions.htif_store
Sail.ConcurrencyInterfaceV1.PreSail.writeByte	8	-	
Sail.ConcurrencyInterfaceV1.PreSail.writeBytes	9	-	Sail.ConcurrencyInterfaceV1.PreSail.writeByte
Sail.ConcurrencyInterfaceV1.PreSail.sail_mem_write	13	-	Sail.ConcurrencyInterfaceV1.PreSail.writeBytes
LeanRV64DExecutable.ConcurrencyInterfaceV1.sail_mem_write	7	-	Sail.ConcurrencyInterfaceV1.PreSail.sail_mem_write
LeanRV64DExecutable.Functions.write_ram	5	-	LeanRV64DExecutable.Functions.internal_error,LeanRV64DExecutable.ConcurrencyInterfaceV1.sail_mem_write
LeanRV64DExecutable.Functions.checked_mem_write	10	-	LeanRV64DExecutable.SailME.run,LeanRV64DExecutable.Functions.check_pma_with_pmp_priority,LeanRV64DExecutable.SailME.throw,LeanRV64DExecutable.Functions.split_misaligned,LeanRV64DExecutable.Functions.write_kind_of_flags,LeanRV64DExecutable.assert,LeanRV64DExecutable.Functions.pmpCheck,LeanRV64DExecutable.Functions.within_mmio_writable,LeanRV64DExecutable.Functions.mmio_write,LeanRV64DExecutable.Functions.write_ram
LeanRV64DExecutable.Functions.mem_write_value_priv_meta	10	-	LeanRV64DExecutable.Functions.checked_mem_write
LeanRV64DExecutable.Functions.mem_write_value_priv	9	-	LeanRV64DExecutable.Functions.mem_write_value_priv_meta
LeanRV64DExecutable.Functions.write_pte	3	-	LeanRV64DExecutable.Functions.mem_write_value_priv
LeanRV64DExecutable.Functions.update_and_write_pte	4	-	LeanRV64DExecutable.Functions.currentlyEnabled,LeanRV64DExecutable.readReg,LeanRV64DExecutable.Functions.write_pte
LeanRV64DExecutable.Functions.write_TLB	2	-	LeanRV64DExecutable.readReg,LeanRV64DExecutable.writeReg
LeanRV64DExecutable.Functions.page_based_mem_type_forwards	1	-	LeanRV64DExecutable.assert
LeanRV64DExecutable.Functions.tlb_get_pbmt	1	-	LeanRV64DExecutable.Functions.page_based_mem_type_forwards
LeanRV64DExecutable.Functions.translate_TLB_hit	10	-	LeanRV64DExecutable.Functions.check_PTE_permission,LeanRV64DExecutable.Functions.update_and_write_pte,LeanRV64DExecutable.Functions.write_TLB,LeanRV64DExecutable.Functions.tlb_get_pbmt
LeanRV64DExecutable.Functions.read_kind_of_flags	3	-	LeanRV64DExecutable.Functions.internal_error
LeanRV64DExecutable.Functions.within_htif_readable	2	-	LeanRV64DExecutable.Functions.within_htif_writable
